DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1961,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,Government of United States of America,FNL,1063,,1,South Vietnam,1962,2,4,1955-04-30,3,1955-04-30,3,817,2,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,Government of United States of America,FNL,1063,,1,South Vietnam,1963,2,4,1955-04-30,3,1955-04-30,3,817,2,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,Government of United States of America,FNL,1063,,1,South Vietnam,1964,2,4,1955-04-30,3,1955-04-30,3,817,2,,,817,3,1.0-2016
615,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),,Opposition coalition,1039,,2,,1948,2,3,1948-03-15,1,1948-03-15,1,678,,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1962,2,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1963,2,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1964,2,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1965,1,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1966,2,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1967,2,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1968,1,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1969,1,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
616,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),Government of Egypt,Royalists,1040,,2,,1970,1,4,1962-10-31,3,1962-10-31,3,678,651,,,678,2,1.0-2016
617,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),,NDF,1041,,2,,1979,1,3,1979-03-31,4,1979-03-31,4,678,,,,678,2,1.0-2016
617,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),,NDF,1041,,2,,1980,1,3,1979-03-31,4,1979-03-31,4,678,,,,678,2,1.0-2016
617,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),,NDF,1041,,2,,1981,1,3,1979-03-31,4,1979-03-31,4,678,,,,678,2,1.0-2016
617,1-33,Yemen (North Yemen),Government of Yemen (North Yemen),,NDF,1041,,2,,1982,1,3,1979-03-31,4,1979-03-31,4,678,,,,678,2,1.0-2016
618,1-38,"North Korea, South Korea",Government of North Korea,,Government of South Korea,732,,1,Korea,1949,1,2,1949-05-31,3,1949-05-31,3,731,,732,,"731, 732",3,1.0-2016
618,1-38,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Canada, Government of France, Government of Greece, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1950,2,2,1949-05-31,3,1949-05-31,3,731,"710, 365",732,"900, 20, 220, 350, 920, 840, 560, 800, 640, 200, 2","731, 732",3,1.0-2016
618,1-38,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1951,2,2,1949-05-31,3,1949-05-31,3,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,1.0-2016
618,1-38,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1952,2,2,1949-05-31,3,1949-05-31,3,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,1.0-2016
618,1-38,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1953,2,2,1949-05-31,3,1949-05-31,3,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,1.0-2016
