Country_Name,ag,elec,food,sqkm,slum,percity,pop,gini,gdp,gdpcap,agval,foreign
Mozambique,499500,20,10,786380,80,4,27216276,45,14688606237,525,25,41
Myanmar,125580,52,0,653080,41,12,53437159,27,64865515159,1203,0,3
Namibia,388090,47,13,823290,33,0,2402858,40,11546088223,4695,7,0
Nauru,4,0,0,20,0,0,10176,38,0,0,0,0
Nepal,41266,76,19,143350,54,4,28174724,29,20880545907,732,33,0
Netherlands,18584,100,12,33670,0,6,16865008,51,752547410446,44433,1,42
New Caledonia,1903,59,13,18280,0,0,268000,15,0,0,0,0
New Zealand,113710,100,10,263310,0,29,4509700,25,173754075210,37807,0,0
Nicaragua,50709,77,17,120340,0,0,6013913,28,12692562187,2086,19,7
Niger,444820,14,32,1266700,70,5,19113728,50,7142951342,358,36,9
Nigeria,710000,55,17,910770,50,15,177475986,52,481066152870,2640,20,1
Northern Mariana Islands,30,0,0,460,0,0,54541,31,0,0,0,0
Norway,9990,100,9,365245,0,0,5137232,31,388314890978,74734,1,0
Oman,14760,97,9,309500,0,0,4236057,46,70254876462,15645,1,1
Pakistan,359360,93,10,770880,45,21,185044286,59,269971498118,1428,25,0
Palau,50,59,20,460,0,0,21097,49,287400000,13498,3,7
Panama,22630,90,13,74340,25,42,3867535,30,52132289700,13268,3,9
Papua New Guinea,11900,18,0,452860,0,0,7463577,19,0,0,0,0
Paraguay,213900,98,7,397300,0,35,6552518,39,27622778722,4160,20,0
Peru,241040,91,9,1280000,34,31,30973148,51,192083721355,6121,7,4
Philippines,122600,87,10,298170,38,14,99138690,45,291965336390,2899,11,1
Poland,147790,100,8,306210,0,4,38011735,38,474783393022,12494,2,0
Portugal,36670,100,15,91600,0,40,10401062,48,198931394033,19222,2,5
Puerto Rico,1953,90,0,8870,0,70,3534888,48,0,0,0,0
Qatar,650,97,9,11610,0,0,2172065,42,166907692307,74667,0,0
Romania,139820,100,8,230030,0,9,19908979,44,177954489851,8972,5,2
Russian Federation,2146500,100,13,16376870,0,20,143819569,30,1326015096948,9057,4,3
Rwanda,18164,18,17,24670,53,10,11341544,63,8095980013,697,33,3
Samoa,350,100,27,2830,0,0,191845,54,761037916,3938,0,3
San Marino,10,100,0,60,0,0,31595,31,0,0,0,0
Sao Tome and Principe,487,60,30,960,86,0,186342,35,0,0,23,1
Saudi Arabia,1733880,97,14,2149690,0,46,30886545,55,646001866666,20481,1,1
Senegal,90150,56,23,192530,39,23,14672557,25,13779570705,910,15,2
Serbia,50610,100,0,87460,0,16,7130576,54,36513027127,5143,9,4
Seychelles,14,100,0,455,0,0,91400,41,1437722206,15476,2,4
Sierra Leone,40176,14,0,72180,75,0,6315627,33,4474689705,693,54,8
Singapore,7,100,3,707,0,100,5469724,46,292739307535,52888,0,22
Sint Maarten (Dutch part),0,0,0,34,0,0,37685,44,0,0,0,0
Slovak Republic,19297,100,6,48088,0,0,5418649,53,86581789952,15962,4,1
Slovenia,4585,100,8,20140,0,0,2061980,26,42746980843,20713,2,0
Solomon Islands,1070,22,17,27990,0,0,572171,39,1156834750,1982,0,5
Somalia,440280,32,0,627340,73,19,10517569,24,5953000000,551,0,8
South Africa,963740,85,6,1213090,23,37,54058647,57,312797576593,5691,2,2
South Sudan,285332,5,0,0,95,0,11911184,43,9015221096,730,0,0
Spain,270140,100,11,500210,0,24,46480882,36,1199057336142,25831,2,3
Sri Lanka,27300,88,12,62710,0,0,20771000,26,82316172384,3926,8,1
St. Kitts and Nevis,60,90,0,260,0,0,54944,24,921888851,16589,1,14
St. Lucia,106,90,0,610,0,0,183645,46,1436390325,7764,2,6
St. Martin (French part),0,90,0,54,0,0,31530,33,0,0,0,0
St. Vincent and the Grenadines,100,75,0,390,0,0,109360,38,751373262,6864,7,17
Sudan,1086788,32,0,2376000,91,12,39350274,39,84066770983,2089,29,2
Suriname,800,100,11,156000,7,0,538248,34,4877888603,8983,10,3
Swaziland,12220,42,0,17200,32,0,1269112,43,4060072443,3154,6,0
Sweden,30660,100,10,407340,0,15,9696110,46,492618068568,50272,1,0
Switzerland,15316,100,5,39516,0,15,8188649,0,664737543616,80214,0,0
Syrian Arab Republic,139150,96,0,183630,19,48,18772481,0,0,0,0,0
Tajikistan,48550,100,0,139960,0,0,8295840,0,7853450374,925,0,0
Tanzania,383000,15,7,885800,50,9,51822621,0,44895392076,864,31,4
Thailand,210600,100,5,510890,25,16,67725979,0,395281580952,5816,10,3
Timor-Leste,3730,41,14,14870,0,0,1212107,0,1412377919,1134,0,4
Togo,36650,31,14,54390,51,0,7115163,0,4002723816,547,42,4
Tonga,310,95,29,720,0,0,105586,0,0,0,20,1
Trinidad and Tobago,540,99,0,5130,0,0,1354483,0,27805745960,20444,0,7
Tunisia,100720,100,10,155360,8,17,10996600,0,43015089722,3872,8,2
Turkey,382470,100,4,769630,11,37,77523788,0,718221078308,9130,8,1
Turkmenistan,338380,100,0,469930,0,0,5307188,0,37334232257,6947,0,9
Turks and Caicos Islands,10,90,0,950,0,0,33740,0,0,0,0,0
Tuvalu,18,44,0,30,0,0,9893,0,0,0,0,0
Uganda,144150,18,11,200520,53,4,37782971,0,26369242278,675,25,4
Ukraine,412810,100,10,579320,0,11,45362900,0,90615023323,2114,11,2
United Arab Emirates,3935,97,7,83600,0,52,9086139,0,370292716133,40438,0,2
United Kingdom,171640,100,10,241930,0,28,64613160,0,2848755449421,43734,0,1
United States,4046693,100,5,9147420,0,45,318907401,0,17946996000000,55836,1,1
Uruguay,145260,99,11,175020,0,49,3419516,0,53442697567,15573,7,5
Uzbekistan,266300,100,0,425400,0,7,30757700,0,66732801392,2132,18,1
Vanuatu,1870,27,0,12190,0,0,258883,0,0,0,28,7
Vietnam,107933,99,8,310070,27,14,90728900,0,193599379094,2111,17,5
Virgin Islands (U.S.),40,90,0,350,0,0,104170,0,0,0,0,0
West Bank and Gaza,2605,97,0,6020,0,0,4294682,0,12677400000,2866,4,1
Zambia,236360,22,4,743390,54,13,15721343,0,21201564248,1307,9,7
Zimbabwe,164000,40,14,386850,25,9,15245855,0,13892940503,890,14,2
