Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,15048.56382,18848.79263,19524.04734,21444.75784,19566.77408,20612.37768,23736.38639,23967.92191,21864.8408,22422.11378,22261.70141,20207.12303,20444.16256,22128.94567,27156.41154,30977.10183,31979.56849,33791.76989,38706.31633,42221.49272,38475.84776,37604.26628,40426.11293,37584.44541,38920.61984,39594.64584
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,150.9520615,148.4927896,168.9040979,182.6796051,216.5541708,210.5402575,223.3968966,200.8718442,199.8131951,205.8460357,192.5076432,221.5268127,272.8328326,262.0745298,281.3750173,299.1114518,306.6651439,404.196309,451.4266933,544.4624311,,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,10662.92425,13773.3657,14782.0389,16105.41873,13362.01835,13465.37783,15561.97275,16236.77168,14872.56589,15534.35989,15859.08603,14787.75606,15359.10844,17019.53541,21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35578.73619,32333.4661,30737.83227,31832.23808,28647.83524,29370.66387,29718.50022
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,3044.379109,3352.73025,3619.946704,4052.292672,4148.060458,4070.031904,4498.958704,5308.346961,7174.240792,8850.46785,10338.31726,12595.41484,16586.40796,18094.5474,14726.31391,14641.40314,17453.75376,17490.99313,19155.42125,20147.77822
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,247.1611913,253.3479607,270.4403309,203.3416396,165.1281267,125.1288855,133.8986024,144.692935,141.0535555,124.6775752,119.2999888,124.0509505,120.3531152,111.5311693,119.0586588,135.9763619,161.8769539,194.0779937,243.6288455,325.7949007,380.264841,341.8589562,355.5889915,469.7923039,503.9026066,573.5659603
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,12825.38214,15851.86703,16419.01146,17839.40528,16212.77232,17177.69786,19683.65196,20090.41983,18913.39074,19549.62029,19480.35558,18074.83304,18244.00637,19845.54593,24092.61558,27723.18173,28887.51792,30708.52013,35377.04526,37921.45398,33817.87746,33595.65566,36241.91837,34150.52785,35402.49152,36425.56595
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,668.1184207,609.9758032,574.771655,628.3132147,701.5336466,832.5914737,950.0085147,1151.921963,1426.978258,1278.532564,1458.959278,1521.69786,1719.511085,1696.619644,1643.528008
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,23983.84575,28380.54891,25503.21521,22337.48712,17617.03044,20305.58355,26273.4659,25777.6413,24676.49708,25989.4075,26178.79178,24253.25042,24913.24452,26834.02625,32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46205.16601,50787.56498,47415.55987,49638.07713,49864.57625
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,1632.138291,1834.994609,1881.580135,2057.3984,2166.058463,2383.91826,2540.751518,2714.24312,2641.06808,2070.168433,2408.165466,2076.013308,2038.899241,2259.055796,2835.980917,3332.91446,3658.617477,3750.034991,4079.228842,4178.321691,3369.855205,3651.958291,4351.919334,4550.267095,4765.84403,5112.38189
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,17704.95898,21795.23783,21782.4162,23937.05692,22503.26085,23625.529,27037.97213,27015.25896,24359.42506,25101.36874,24799.29601,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40705.76623,43807.4759,40838.02444,42571.19799,42546.83879
