"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Lusaka management centre to launch masters programmes","494 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;UN agency donates dogs to DEC","320 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Lusaka drivers won't budge","480 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Science and Health;Mothers deaths worry State","560 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;ZAMNET director roasted","747 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Police on Masonic trail","587 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Sweden gives aid condition","480 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Worrisome events at the university (Editorial)","707 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Science and Health;Charcoal burners cause concern in Zambia","587 words"," Africa News","","",
"Yuyo Kambikambi And Mwaba Phiri, Times of Zambia (Lusaka)","","","Sports - Soccer;'CHIPOLOPOLO' making presence felt in Jbg","440 words"," Africa News","","",
"Sports Reporters, Times of Zambia (Lusaka)","","","Sports - Soccer;Squad heads for South Africa","240 words"," Africa News","","",
"Julian Drew, Mail And Guardian (Johannesburg)","","","Sports - General;Record run puts Ramaala on track for Athens","1174 words"," Africa News","","",
"Mick Cleary, Mail And Guardian (Johannesburg)","","","Sports - General;The dynamic game just built for Jerry","1227 words"," Africa News","","",
"Andrew Muchineripi, Mail And Guardian (Johannesburg)","","","Sports - Soccer;Don't book plane tickets yet","1200 words"," Africa News","","",
"Steve Morris, Mail And Guardian (Johannesburg)","","","Sports - General;A Springbok burger that's a bit thin on beef","1534 words"," Africa News","","",
"Maria McCloy, Mail And Guardian (Johannesburg)","","","Business and Finance;SA Ad Industry: Struggling to relate to Africa","894 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Tandia Klaasen consciousness","1280 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Arts and Entertainment;The bandit princess of Kama Sutra","2067 words"," Africa News","","",
"Gwen Ansell, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Music Awards Finalists Disappoint","667 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Suzman's coup","614 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;Doubts over JCI deal","1107 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;World Bank brings new image to Cape","1520 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;Offset deals taking off","360 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;NUM claims millions more from Anglo for disaster","960 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;How to create jobs","494 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;South Africa getting to grips with labour constraints","2120 words"," Africa News","","",
"Ferial Haffajee, Mail And Guardian (Johannesburg)","","","Business and Finance;Public sector wage gap closes","467 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Science and Health;Last outpost of an ancient affliction","1160 words"," Africa News","","",
"Mafaniso Hara, Mail And Guardian (Johannesburg)","","","Science and Health;Ivory trade ban likely to continue","1120 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;A place for Africanism (Commentary)","1280 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Africa-at-Large;Beware Nigerians bearing arms (Editorial)","600 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;FW should own up (Editorial)","640 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;Back to class, but conflict simmers","2014 words"," Africa News","","",
"Chris McGreal, Mail And Guardian (Johannesburg)","","","Zaire;Bullets and breakfast at the 'Inter' hotel","1240 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;Parliament acts to keep soldiers off the streets","694 words"," Africa News","","",
"Andrew Worsdale, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Paton's son is tired of inaccuracies","800 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;Restricting bail may limit rights","680 words"," Africa News","","",
"Barnaby Phillips, Mail And Guardian (Johannesburg)","","","Angola;War cries from Angola","1214 words"," Africa News","","",
"Anthony Kunda, Mail And Guardian (Johannesburg)","","","Zambia;Chiluba's 'change of name'","707 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;KwaZulu: The centre is holding","2387 words"," Africa News","","",
"Stefaans BrUmmer, Mail And Guardian (Johannesburg)","","","Sierra Leone;The forces of Freetown","1627 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;ANC officials in North in slanging match","1254 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Business and Finance;KWV in fake champagne swindle","1894 words"," Africa News","","",
"South African Municipal Workers Union (SAMWU)","","","Business and Finance; SA Municipal Workers Questions Sanitation; Contracts","1574 words"," Africa News","","",
"Zambia News Online","","","Sports - Soccer;FIFA Intervenes in Suspension of FAZ President","160 words"," Africa News","","",
"Zambia News Online","","","Zambia;Zambia News Roundup","1400 words"," Africa News","","",
"Zambia News Online","","","Zambia;Zambian Inter-Party Conflicts Increase","414 words"," Africa News","","",
"Zambia News Online","","","Zambia;Christians Fear Growth Of Satanism In Zambia","1294 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; Richardson to Kinshasa for Talks with Kabila","1600 words"," Africa News","","",
"Amnesty International","","","Kenya; Amnesty on Kenya's Legal Reforms","654 words"," Africa News","","",
"Amnesty International","","","United States and Africa; Amnesty Opposes Execution of South African Youth;in Miss","1160 words"," Africa News","","",
"African National Congress of South Africa","","","Africa-at-Large; ANC Statement on the OAU","334 words"," Africa News","","",
"Zubeida Jaffer, Cape Argus (Cape Town)","","","South Africa;Take your partners for 1999","1614 words"," Africa News","","",
"David Yutar, Cape Argus (Cape Town)","","","Science and Health;Steve Biddulph: in search of the New Age male","1547 words"," Africa News","","",
"Johan Schronen, Cape Argus (Cape Town)","","","South Africa;Seven arrested in pre-dawn raid on Crossroads","587 words"," Africa News","","",
"Andrea Weiss, Cape Argus (Cape Town)","","","South Africa;City fire chief douses Olympic flame in Mall","254 words"," Africa News","","",
"Cape Argus (Cape Town)","","","Sports - Soccer;Winning on the field and off it (Editorial)","480 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","South Africa;W Cape accounts for one in five Mediation cases","654 words"," Africa News","","",
"Andrea Weiss, Cape Argus (Cape Town)","","","South Africa;Cape Town names big parking 'criminals'","654 words"," Africa News","","",
"Sabelo Dlamini, African Eye News Service (South Africa)","","","Swaziland;Swaziland faces national strike after negotiations fail","494 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Heath investigation unit slams former Transkei leader","987 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;MEC misinformed legislature about housing scheme","1027 words"," Africa News","","",
"Ronny Mamba, African Eye News Service (South Africa)","","","Sports - General;SADC ministers back Cape Olympics bid","267 words"," Africa News","","",
"Ronny Mamba, African Eye News Service (South Africa)","","","Swaziland;Dagga plantation found on Swaziland Prime Minister's farm","414 words"," Africa News","","",
"Ronny Mamba, African Eye News Service (South Africa)","","","Swaziland;Rapist claims incest is Swazi tradition","214 words"," Africa News","","",
"Sabelo Dlamini, African Eye News Service (South Africa)","","","Sports - Soccer;Senators' want to cut funding for "embarrassing" soccer team","614 words"," Africa News","","",
"Donny Nxumalo, African Eye News Service (South Africa)","","","Business and Finance;Anti-corruption figure takes over Swaziland sugar body","600 words"," Africa News","","",
"Chimwemwe Mwanza, Post of Zambia (Lusaka)","","","Sports - Soccer;Kalusha donates to ZYFA","320 words"," Africa News","","",
"South African Communication Service","","","South Africa; Chikane Inquires About Violations to TRC","560 words"," Africa News","","",
"Sheikh Chxifuwe, Post of Zambia (Lusaka)","","","Sports - Soccer;Zambia to be redeemed, assures coach Mungwa","467 words"," Africa News","","",
"Sheikh Chifuwe, Post of Zambia (Lusaka)","","","Sports - Soccer;Zambian Litana's arrival is still a secret","454 words"," Africa News","","",
"Mulenga Makumya, Post of Zambia (Lusaka)","","","Zambia;Seeing It My Way: Studying abroad (Column)","1267 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Sweden now ties aid to dialogue","720 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Southern Africa;Business and Finance;SADC trade protocol won't benefit Zambia, says Mumba","387 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Electricity tariffs to go up","654 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Zambia's economic growth rate to decline","294 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Church Of Barotseland Dismisses UCZ Charges","414 words"," Africa News","","",
"Masautso Phiri, Post of Zambia (Lusaka)","","","Zambia;Reject FTJ's 'illegal' pay","1094 words"," Africa News","","",
"United Nations","","","Angola; UNSG Recommends Continuation of UN Presence in;Angola","347 words"," Africa News","","",
"UN High Commission for Refugees","","","Zaire; UNHCR Reports More Refugees in Mbandaka","427 words"," Africa News","","",
"UN High Commission for Refugees","","","Congo; UNHCR Concerned About Refugees in Brazzaville","267 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Namibia to consider Congo river plan","467 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Caprivi's teen sex slaves: Poverty producing 'child brides'","774 words"," Africa News","","",
"The Namibian (Windhoek)","","","Namibia;Gay rights group take their concerns to Ombudswoman","600 words"," Africa News","","",
"Tunisia Online","","","Tunisia;Tunisia and EXIMBANK Sign Loan Agreement","120 words"," Africa News","","",
"Tunisia Online","","","Business and Finance;Tunisian-Portuguese Economic Cooperation","160 words"," Africa News","","",
"Tunisia Online","","","Business and Finance;Car Components Industry Booms in Tunisia","307 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Work on irrigation projects in progress","200 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ethiopians return home from Sudan","173 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Witness: was seven months pregnant when beaten in jail","1107 words"," Africa News","","",
"Seifu Mahifere, Ethiopian News Agency","","","Ethiopia;Minister calls for efforts towards environmental conservation","787 words"," Africa News","","",
"Dr. Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Ethiopia;Antoine d'Abbadie: 19th Century French Traveller and Scholar","2254 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sports - General;Ethiopia's National Football Team Beaten By Morocco","174 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sports - General;Haile Gebreselassie Made Honourary Citizen","294 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Ethiopians to Trek the Extra Mile for the Environment","174 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Speaking of People: Yoseph Taye","1307 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopia, Kenya Trade Relations Said Dynamic","787 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;50 Ethiopian Patent Applicants Accepted","307 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;African Leaders Renewed Confidence in Dr. Salim (Editorial)","267 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Derg Trial Told Killing of a Minor Caused Mother's Death","547 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Berhan Selam Celebrates its 75th Anniversary","294 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Alitalia Began Flights to Ethiopia","160 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopia Suffers Losses From Animal Diseases","214 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Ethiopia;Professions in Great Demand in Ethiopian Civil Service","2694 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;US Grants Aid to Help Fight Narcotics Trafficking","387 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Dergue Officials Appear on Charge of Gassing","213 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopian Measures Against Businessmen Called Illegal","614 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Business and Finance;Repercussions of Eritrea's Planned Currency Change on Ethiopia","2067 words"," Africa News","","",
"Panafrican News Agency","","","Congo (Kinshasa);Swiss Accused Of Underrating Mobutu's Wealth","414 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Ojukwu Opposes Campaign For Abacha To Succeed Himself","467 words"," Africa News","","",
"Panafrican News Agency","","","Congo (Kinshasa);Kabila Appoints Three New Ministers","147 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Mozambique Premier Inaugurates Coca-Cola Plant","667 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;OAU Exploring Areas Of Cooperation With NGOs","360 words"," Africa News","","",
"Panafrican News Agency","","","Algeria;Ruling Party Wins Parliamentary Elections","440 words"," Africa News","","",
"Panafrican News Agency","","","Libya;French Businessmen Visit Libya","307 words"," Africa News","","",
"Panafrican News Agency","","","Tanzania;WFP Donates 9,550 Tonnes Of Food","280 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Sports - Soccer;Nigeria Beats Kenya 3-0, Through To France '98","614 words"," Africa News","","",
"Panafrican News Agency","","","Algeria;O.A.U. Satisfied With Algerian Elections","440 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Salim Says O.A.U. Scored Successes Over 10 years","360 words"," Africa News","","",
"Marvellous Mapininga, PANA Correspondent, Panafrican News Agency","","","Science and Health;Africa In Bid To Win Elephant Downlisting War","1094 words"," Africa News","","",
"World Food Programme","","","Africa-at-Large; WFP Emergency Report No. 23 - Africa (06/06)","3627 words"," Africa News","","",
"World Food Programme","","","Africa-at-Large; WFP Emergency Report No. 23 - Africa (06/06)","3627 words"," Africa News","","",
"Paul Ejime & Musengwa Kayaya, PANA Staff Correspondents, Panafrican News Agency","","","Sports - Soccer;World Cup Berths Decided","1227 words"," Africa News","","",
"Ferdinand Bigumandondera, PANA Correspondent, Panafrican News Agency","","","Burundi;First Women Police In Macho Capital","387 words"," Africa News","","",
"Panafrican News Agency","","","Science and Health;Mugabe Opens Cites Conference","907 words"," Africa News","","",
"Marvellous Mapininga, PANA Correspondent, Panafrican News Agency","","","Science and Health;Africa In Bid To Win Elephant Downlisting War","1107 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; State Department on Richardson Mission and Brazzaville","2267 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. 'Commends' Algeria for Elections","507 words"," Africa News","","",
"Western Sahara Referendum Support Association","","","Western Sahara;Sahara Weekly News Update","720 words"," Africa News","","",
"National Party (South Africa)","","","South Africa; NP Supports Closed Hearings in Durban","374 words"," Africa News","","",
"Amnesty International","","","Tunisia; Amnesty: 'The Widening Circle Of Repression'","1280 words"," Africa News","","",
"Amnesty International","","","Kenya; Amnesty International Delegation Meets With Government","640 words"," Africa News","","",
"Chene Blignaut, Cape Argus (Cape Town)","","","Business and Finance;Many Cape guest houses not built to last","560 words"," Africa News","","",
"Don Lilford, Cape Argus (Cape Town)","","","Business and Finance;The leading lady of Cape Town's mega events","1227 words"," Africa News","","",
"Alide Dasnois, Cape Argus (Cape Town)","","","Business and Finance;'Fake champagne' sale bid probed","387 words"," Africa News","","",
"Helen Grange, Cape Argus (Cape Town)","","","South Africa;Byzantine intrigue in SABC's towers","1094 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;Bid team, Pagad set for talks on gangs","347 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;The problems at the SABC (Editorial)","387 words"," Africa News","","",
"Johan Schronen, Cape Argus (Cape Town)","","","South Africa;Four held in hijack murders","694 words"," Africa News","","",
"Ntsika Mdluli, African Eye News Service (South Africa)","","","Business and Finance;Swaziland set to scrap investor's 5-year tax holiday","800 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Home-made coal stoves claim yet more victims","294 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Three more Mpumalanga prisoners escape","214 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Airlines get Zambian directive","720 words"," Africa News","","",
