"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Rehana Rossouw, Mail and Guardian (Johannesburg)","","","South Africa;Further Shocks On Kids In Jail","627 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;KwaZulu-Natal Skeletons Creep Out Of The Closet","827 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Amnesty Fails South Africa's Unforgiven","760 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","South Africa;Supreme Court Backs Company Secrecy","454 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","South Africa;Security Minister Faces Torture Case","494 words"," Africa News","","",
"Joshua Amupadhi and Thandi Lewin, Mail and Guardian (Johannesburg)","","","South Africa;Party Banners Fly At Varsity For First Time","1040 words"," Africa News","","",
"Angella Johnson, Mail and Guardian (Johannesburg)","","","South Africa;Crooked Cops At Heart Of Crime Wave","2160 words"," Africa News","","",
"Riquadeau Jacobs, Mail and Guardian (Johannesburg)","","","South Africa;Torture Camp Found In KwaZulu-Natal","454 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Flood Recovery Work Opens Roads","334 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Commercial Bank Reports Profit","280 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Weekly Roundup of Great Lakes Region","2347 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Tutu Says Truth Panel to Meet Ex-Police Heads","520 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Truth Panel Issues First Amnesty","1854 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Tutu Invites Questions for Political Parties","280 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Truth Panel Says Some Afraid to Testify","254 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Amnesty Statement from Truth Commission","387 words"," Africa News","","",
"Staff Reporter, The Post of Zambia (Lusaka)","","","Zambia;New Testimony: State House Killed Nkumbula","7507 words"," Africa News","","",
"Chilombo Mwondela, The Post of Zambia (Lusaka)","","","Business;Anglo Against Piece-Meal Sale Of Mining Company","214 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Zimbabwean Strike Ends, But Workers Issue Ultimatum","627 words"," Africa News","","",
"Panafrican News Agency","","","Ghana;Accra's Kotoka Airport Expansion Project Due To Start","387 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Business;Zambia's Copper Mine Records Profit","347 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Business;British Airways Mistreats Passengers, Then Offers Free Tickets","347 words"," Africa News","","",
"Panafrican News Agency","","","Kenya;Iran Urges Support For Non-Aligned Movement","480 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;OAU Urges Non-Aligned Nations To Make Information A Priority","440 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Delta Gold Explores More Minerals In Zimbabwe","427 words"," Africa News","","",
"Osman Njuguna, APS Writer, All Africa Press Service","","","Africa-at-Large;Lay Empowerment A Major Concern For African Churches","1814 words"," Africa News","","",
"Florence Bamanyaki, APS Correspondent, All Africa Press Service","","","Africa-at-Large;Are Women Merely Pawns In The Ecumenical Debate?","1520 words"," Africa News","","",
"Joseph K'Amolo, APS Correspondent, All Africa Press Service","","","Africa-at-Large;Prophetic Role Of Church In Africa Put To Test","1920 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;African Women Theologians Challenge Church Leaders","1040 words"," Africa News","","",
"All Africa Press Service","","","Sudan;Norwegian Agency Confirms Release Of Clergy In Sudan","587 words"," Africa News","","",
"All Africa Press Service","","","Tanzania;Tanzania's Lutheran Church Endorses University Plans","747 words"," Africa News","","",
"All Africa Press Service","","","Ghana;Ghana's Catholic Church Prepares For Third Millennium","534 words"," Africa News","","",
"All Africa Press Service","","","Uganda;Uganda's Anglican Bishops Call For Ban On Lotteries","480 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Church's Role Crucial To Ending Female Circumcision","774 words"," Africa News","","",
"All Africa Press Service","","","Egypt;Copts Ask Congress To Probe Egyptian Killings","640 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Church Of England To Consecrate First African Bishop","600 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Church Leaders Stress Importance Of Communication","840 words"," Africa News","","",
"Masautso Phiri, Column, The Post of Zambia (Lusaka)","","","Zambia;Term Of Office","827 words"," Africa News","","",
"Staff Reporter, The Post of Zambia (Lusaka)","","","Zambia;Re-Open Inquiry On Killing","1094 words"," Africa News","","",
"Masaautso Phiri, The Post of Zambia (Lusaka)","","","Zambia;New Party Launched","414 words"," Africa News","","",
"Chilombo Mwondela, The Post of Zambia (Lusaka)","","","Business;Zambian Copper Prices Uncertain","334 words"," Africa News","","",
"Staff Reporters, The Post of Zambia (Lusaka)","","","Sports - General;African Cricket Body Planned","200 words"," Africa News","","",
"Malawi News Online","","","Malawi;President Muluzi Bites The Press, Angers Opposition","614 words"," Africa News","","",
"Malawi News Online","","","Malawi;Malawi News Roundup","1600 words"," Africa News","","",
"Malawi News Online","","","Malawi;Polio Shot Hits Target","720 words"," Africa News","","",
"Zambia News Online","","","Sports - General;Top Rally Ace Guns For Fifth African Title","147 words"," Africa News","","",
"Zambia News Online","","","Sports - Soccer;Zambian Soccer Team Steps Up Training","240 words"," Africa News","","",
"Zambia News Online","","","Africa-at-Large;Sanctions Against Burundi Hurting Zambia","294 words"," Africa News","","",
"Zambia News Online","","","Zambia;Zambian Sex Workers Reform","320 words"," Africa News","","",
"Zambia News Online","","","Zambia;Election Controversies on the Rise","587 words"," Africa News","","",
"Zambia News Online","","","Business;Zambian Politicians Differ On Sale Of ZCCM","294 words"," Africa News","","",
"Zambia News Online","","","Zambia;Mob Justice To Zambia's Criminals On The Increase","374 words"," Africa News","","",
"Zambia News Online","","","Zambia;Zambians Seeming Lack Of Euphoria About Elections","1054 words"," Africa News","","",
"Zambian News Agency","","","Business;Southern Africa Tourism Body Set To Open","480 words"," Africa News","","",
"Zambian News Agency","","","Business;Zairean Textile Company To Import More Cotton","534 words"," Africa News","","",
"Zambian News Agency","","","Business;EU Counts Projects In Zambia","400 words"," Africa News","","",
"The Post of Zambia (Lusaka)","","","Business;Zambian Govt Owed K25 Bn By Maize Agents","120 words"," Africa News","","",
"Reuben Tonga, The Post of Zambia (Lusaka)","","","Zambia;Commonwealth Group Ends Fact-Finding Mission","307 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;United States Denies Threatening To Cut Zambia Aid","240 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Non-Aligned Ministers Express Concern Over Gulf Crisis","507 words"," Africa News","","",
"Randy Zormelo, PANA Staff Correspondent, Panafrican News Agency","","","Sports - Soccer;Kanu Plays Down Heart Problem, Says He Is Still In Soccer","560 words"," Africa News","","",
"Randy Zormelo, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Nigeria Closes Diplomatic Mission In Canada","454 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Rastafarians Urge Mugabe To Hand Over Mengistu For Trial","760 words"," Africa News","","",
"John Liebenberg, Mail and Guardian (Johannesburg)","","","Angola;Unita Congress Silences Angolan Town","1307 words"," Africa News","","",
"Chris McGreal, Mail and Guardian (Johannesburg)","","","Burundi;Opposition Party Joins Burundi's 'Struggle'","854 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Swaziland;Legal Rows Dog Swazis","360 words"," Africa News","","",
"Julius Zava, Mail and Guardian (Johannesburg)","","","Zimbabwe;Mugabe Fiddles While Zim Burns","360 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Police Can't Get Their Hands On Fingerprinting System","414 words"," Africa News","","",
"Bronwen Jones, Mail and Guardian (Johannesburg)","","","South Africa;No Medals For SA's Deep Diving Champ","1294 words"," Africa News","","",
"Rehana Rossouw, Mail and Guardian (Johannesburg)","","","South Africa;District Six: Restitution Or Development?","1547 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;SA Journalists Kept In Libyan Compound","307 words"," Africa News","","",
"Max Gebhardt, Mail and Guardian (Johannesburg)","","","South Africa;Church Schools Hit Hard By Cut","707 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;ANC Favourites Emerge","654 words"," Africa News","","",
"Sharon Hammond and Justin Arenstein, Mail and Guardian (Johannesburg)","","","South Africa;Township Thugs Still Have Police On Their Side","960 words"," Africa News","","",
"Katy Bauer, Mail and Guardian (Johannesburg)","","","South Africa;Black, Rich ... And Disadvantaged, Of Course","3014 words"," Africa News","","",
"David MacGregor, Mail and Guardian (Johannesburg)","","","South Africa;Rustlers Defeat Eastern Cape Farmers","334 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;MPs' Finances Up For Scrutiny","560 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Tax/Rate Campaign Gets Second Chance","667 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;South Africa's New Superspies","974 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;ANC Reopens Debate On Death Penalty","987 words"," Africa News","","",
"Stefaans Brummer, Mail and Guardian (Johannesburg)","","","South Africa;Deputy President's Host In Drugs, Hit Squad 'Slur'","987 words"," Africa News","","",
"Andrew Worsdale, Mail and Guardian (Johannesburg)","","","South Africa;South Africa First To Get Hard-Core Movie","427 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","South Africa;Minister's Book Slams Pro-Apartheid Business","1014 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;President Mugabe Returns Home From Jamaica","280 words"," Africa News","","",
"Panafrican News Agency","","","Congo;Poachers Massacre 200 Elephants In Northern Congo","187 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Kaunda Boycotts Meeting With Chiluba","427 words"," Africa News","","",
"Panafrican News Agency","","","Kenya;Water Hyacinth Chokes Lake Victoria","307 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","West Africa;UN Delays Mission To Bakassi","387 words"," Africa News","","",
"Tom Hollaway, PANA Correspondent, Panafrican News Agency","","","Swaziland;Swaziland's Annual Reed Dance Draws Crowds","440 words"," Africa News","","",
"Panafrican News Agency","","","Cameroon;Wildlife Fund Protects Medicinal Plants In Cameroon","560 words"," Africa News","","",
"John Liebenberg, Mail and Guardian (Johannesburg)","","","Angola;Unita Congress Silences Angolan Town","1307 words"," Africa News","","",
"Chris McGreal, Mail and Guardian (Johannesburg)","","","Burundi;Opposition Party Joins Burundi's 'Struggle'","854 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Swaziland;Legal Rows Dog Swazis","360 words"," Africa News","","",
"Julius Zava, Mail and Guardian (Johannesburg)","","","Zimbabwe;Mugabe Fiddles While Zim Burns","360 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Police Can't Get Their Hands On Fingerprinting System","414 words"," Africa News","","",
"Bronwen Jones, Mail and Guardian (Johannesburg)","","","South Africa;No Medals For SA's Deep Diving Champ","1294 words"," Africa News","","",
"Rehana Rossouw, Mail and Guardian (Johannesburg)","","","South Africa;District Six: Restitution Or Development?","1547 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;SA Journalists Kept In Libyan Compound","307 words"," Africa News","","",
"Max Gebhardt, Mail and Guardian (Johannesburg)","","","South Africa;Church Schools Hit Hard By Cut","707 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;ANC Favourites Emerge","654 words"," Africa News","","",
"Sharon Hammond and Justin Arenstein, Mail and Guardian (Johannesburg)","","","South Africa;Township Thugs Still Have Police On Their Side","960 words"," Africa News","","",
"Katy Bauer, Mail and Guardian (Johannesburg)","","","South Africa;Black, Rich ... And Disadvantaged, Of Course","3014 words"," Africa News","","",
"David MacGregor, Mail and Guardian (Johannesburg)","","","South Africa;Rustlers Defeat Eastern Cape Farmers","334 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;MPs' Finances Up For Scrutiny","560 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Tax/Rate Campaign Gets Second Chance","667 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;South Africa's New Superspies","974 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;ANC Reopens Debate On Death Penalty","987 words"," Africa News","","",
"Stefaans Brummer, Mail and Guardian (Johannesburg)","","","South Africa;Deputy President's Host In Drugs, Hit Squad 'Slur'","987 words"," Africa News","","",
"Andrew Worsdale, Mail and Guardian (Johannesburg)","","","South Africa;South Africa First To Get Hard-Core Movie","427 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","South Africa;Minister's Book Slams Pro-Apartheid Business","1014 words"," Africa News","","",
"Florence Bamanyaki, APS Correspondent, All Africa Press Service","","","Africa-at-Large;African Women Theologians Speak Out","1187 words"," Africa News","","",
"Osman Njuguna, APS Writer, All Africa Press Service","","","Africa-at-Large;Authors Honour African Women In Church, Society","2054 words"," Africa News","","",
"Robert N. Kizito, All Africa Press Service","","","Science;Herbalist Invents Aids Mixture In Benin","1800 words"," Africa News","","",
"All Africa Press Service","","","Uganda;Adventists Dismiss Claims On Pygmies' Death In Uganda","494 words"," Africa News","","",
"All Africa Press Service","","","Congo;Government Tightens Grip On Private Media In Congo","694 words"," Africa News","","",
"All Africa Press Service","","","South Africa;Media-Security Relations In South Africa Threatened","1280 words"," Africa News","","",
"All Africa Press Service","","","Kenya and Uganda;Ugandan And Kenyan Bishops Take Strong Stance On Condoms","494 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Churches Challenged On Money Collection, Poverty","640 words"," Africa News","","",
"All Africa Press Service","","","Science;UK Charity Mobilising To End Female Genital Mutilation","1107 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Theologians Focus On Low Literacy Among Muslim Women","427 words"," Africa News","","",
"All Africa Press Service","","","Ghana;Ghanaian Methodists Elect New President","640 words"," Africa News","","",
"Jacquie Golding-Duffy, Mail and Guardian (Johannesburg)","","","Business;Media Catch A Taxi To Soweto","1414 words"," Africa News","","",
"Tebello Radebe, Mail and Guardian (Johannesburg)","","","Business;Saga Rages On Over Bank Law In South Africa","880 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","Business;South African Government Seeks Information Technology Aid","627 words"," Africa News","","",
"Aspasia Karras, Mail and Guardian (Johannesburg)","","","Business;Counting On Transformation","1334 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","Business;Iraqi Crisis Strikes Blow To South African Inflation","734 words"," Africa News","","",
"Madeleine Wackernagel, Mail and Guardian (Johannesburg)","","","Business;Virgin's Not Afraid Of South Africa","467 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;South Africa: Pirates Kick Off International Show","1094 words"," Africa News","","",
"Jon Swiift, Mail and Guardian (Johannesburg)","","","Sports - General;Rugby: Brave Victory, But Battle Isn't Over","1840 words"," Africa News","","",
"Gavin Evans, Mail and Guardian (Johannesburg)","","","Sports - General;Boxing: Why Bergman Can Beat The Best","1814 words"," Africa News","","",
"Yunus Momoniat, Mail and Guardian (Johannesburg)","","","Arts;Book Review: To Get Africa Out Of Its Impasse","1067 words"," Africa News","","",
"Karen Davis, Mail and Guardian (Johannesburg)","","","Arts;Here Comes The Kwela Kwela Kid","947 words"," Africa News","","",
"Marilyn Keegan, Mail and Guardian (Johannesburg)","","","Arts;Photographer Explores Lunatic Ambiguity","547 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts;Artists Speak In Volumes","640 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts;Who Will Direct Johannesburg Biennale?","480 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;ANC Briefs Regions On Holomisa Saga","867 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Arts;Ethiopians in Canada Urge Speedy Return of Obelisk","254 words"," Africa News","","",
"Economics Correspondent, Addis Tribune (Addis Ababa)","","","Business;When Shall We Say There is Growth in Ethiopia?","1734 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Ethiopian News Roundup","654 words"," Africa News","","",
"Tamrat Bekele, Editorial, Addis Tribune (Addis Ababa)","","","Ethiopia;The Challenge of the New Year","254 words"," Africa News","","",
"Staff Reporter, Addis Tribune (Addis Ababa)","","","Business;Addis Business Community Demonstrates To No Avail","334 words"," Africa News","","",
"Economics Correspondent, Addis Tribune (Addis Ababa)","","","Business;Ethiopia's Non-Rouble External Debt Up","1440 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Zambian Court Discharges Two Treason Detainees","400 words"," Africa News","","",
"Nasir Mahmoud, PANA Correspondent, Panafrican News Agency","","","Africa-at-Large;Pan-African Magazine Re-Emerges","227 words"," Africa News","","",
"Panafrican News Agency","","","Burundi;Archbishop Of Gitega Feared Killed In Ambush","294 words"," Africa News","","",
"Panafrican News Agency","","","Ivory Coast;Three Ivorian Journalists Denied Bail","200 words"," Africa News","","",
"Panafrican News Agency","","","Liberia;Food Sent to Revive Malnourished Children in Tubmanburg","560 words"," Africa News","","",
"Panafrican News Agency","","","Business;Zimbabwe Stock Exchange Activity Increases","454 words"," Africa News","","",
"Panafrican News Agency","","","Business;Ashanti Secures Loan For Zimbabwe Gold Mine","320 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Chiluba Rejects Opposition Demands","707 words"," Africa News","","",
"Panafrican News Agency","","","Science;Workshop Endorses AIDS Vaccine Trials In Uganda","587 words"," Africa News","","",
"Panafrican News Agency","","","Science;Over One Million Kenyans Live With HIV","200 words"," Africa News","","",
"Panafrican News Agency","","","Science;Malaria Still Africa's Major Health Problem","520 words"," Africa News","","",
"Panafrican News Agency","","","Burundi;WHO Calls For Protection Of Burundi's Vulnerable Groups","387 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Iranian President Arrives In Zimbabwe","307 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Nigerian Varsity Crisis Lingers On","534 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Burundi;U.S. Catholic Bishops Decry Burundi Clerics Death","374 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Countries Review Burundi Sanctions","907 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Weekly Roundup of Great Lakes Region","2200 words"," Africa News","","",
"Africa Policy Information Center (Washington, DC)","","","United States and Africa; U. S. Groups Urge Clinton Action on Burundi","1280 words"," Africa News","","",
"Africa News Service","","","Burundi; Two Human Rights Groups Call for Burundi Tribunal","907 words"," Africa News","","",
"Africa News Service","","","United States and Africa; U.S. Welcomes Inauguration of New Liberian President","334 words"," Africa News","","",
"Africa News Service","","","United States and Africa; White House Issues Warning on Angolan Peace","320 words"," Africa News","","",
"Committee to Protect Journalists (CPJ)","","","Kenya;U.S. Media Groups Condemns Bombing of Kenyan Printer","467 words"," Africa News","","",
"Committee to Protect Journalists (CPJ)","","","South Africa;U.S. Media Group Protests Subpoenas for South African Journalists","680 words"," Africa News","","",
"Joseph Ngala, People for Peace, Nairobi, African Faith and Justice Network (Washington, DC)","","","Burundi;Army says Hutu Rebels Killed Archbishop","1054 words"," Africa News","","",
"Anne Coddington, Mail and Guardian (Johannesburg)","","","South Africa;Popping Up... Jills In The Sports Box","1694 words"," Africa News","","",
"Katy Bauer, Mail and Guardian (Johannesburg)","","","South Africa;Gender Controversy Continues","1240 words"," Africa News","","",
"Jacquie Golding-Duffy, Mail and Guardian (Johannesburg)","","","Business;Grand Relaunch Of South African Newspaper","1094 words"," Africa News","","",
"Jacquie Golding-Duffy, Mail and Guardian (Johannesburg)","","","Business;South African Communications Services To Go?","1694 words"," Africa News","","",
"Alex Brummer, Mail and Guardian (Johannesburg)","","","Business;Step Forward For Economic Order","494 words"," Africa News","","",
"Fay Davids, Mail and Guardian (Johannesburg)","","","Business;Babies Move Into South African Boardrooms","974 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Government Examines Its Losses Too Late","974 words"," Africa News","","",
"Lynda Loxton, Mail and Guardian (Johannesburg)","","","Business;Tade Unions Attack Tax Laws","760 words"," Africa News","","",
"Madeleine Wackernagel, Mail and Guardian (Johannesburg)","","","Business;Virgin Boss Warns Against UK-Style Lottery","720 words"," Africa News","","",
"Madeleine Wackernagel, Mail and Guardian (Johannesburg)","","","Business;National Council Begins Talks On Competition Policy","627 words"," Africa News","","",
"Madeleine Wackernagel and Mungo Soggot, Mail and Guardian (Johannesburg)","","","Business;Price Inflation Stats In A Mess?","707 words"," Africa News","","",
"Julian Drew, Mail and Guardian (Johannesburg)","","","Sports - General;Paralympics: How Terblanche Beats The Tension","1440 words"," Africa News","","",
"Jon Swift, Mail and Guardian (Johannesburg)","","","Sports - General;Rugby: Use The Cup To Clear The Muddle","1227 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;There's A Score To Settle With The Aussies","1067 words"," Africa News","","",
"Bronwen Jones, Mail and Guardian (Johannesburg)","","","South Africa;Learning In Many Tongues","960 words"," Africa News","","",
"Jane Rosenthal, Mail and Guardian (Johannesburg)","","","Arts;Book Review: Phosa To The Rescue Of Afrikaans","960 words"," Africa News","","",
"James Sey, Mail and Guardian (Johannesburg)","","","South Africa;Private Acts And Public Rituals","1254 words"," Africa News","","",
"Andrew Wilson, Mail and Guardian (Johannesburg)","","","Arts; Return To The Victory Theatre","440 words"," Africa News","","",
"Andrew Wilson, Mail and Guardian (Johannesburg)","","","Arts;Producer Is Law Unto Himself","1120 words"," Africa News","","",
"Gwen Ansell, Mail and Guardian (Johannesburg)","","","Art;South African Play Fires Words Like Bullets","347 words"," Africa News","","",
"Gwen Ansell, Mail and Guardian (Johannesburg)","","","Arts;Speaking In jazz","854 words"," Africa News","","",
"Andrew Worsdale, Mail and Guardian (Johannesburg)","","","Arts;Kiss The Independents Goodbye","1587 words"," Africa News","","",
