"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Davis Weddi and Grace Matsiko, New Vision (Kampala)","","","Uganda;Explosion Rocks Kampala","360 words"," Africa News","","",
"John Eremu Rogers Kazibwe, New Vision (Kampala)","","","Uganda;Intelligence To Count Teachers, Pupils","534 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Lessons From Amin's Anti-Asian Act (Editorial)","654 words"," Africa News","","",
"Rogers Kazibwe and John Eremu, New Vision (Kampala)","","","Uganda;TTC RESULTS RELEASED","307 words"," Africa News","","",
"Ernest Bazanye, New Vision (Kampala)","","","Uganda;Makerere Results 'Big Improvement'","387 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Business and Finance;Sack Uganda Airlines Board - Pilots","494 words"," Africa News","","",
"Anne A. Mugisa, New Vision (Kampala)","","","Uganda;Mrs Mkapa Visits Kisenyi Orphanage","414 words"," Africa News","","",
"Lawrence Wamanga, New Vision (Kampala)","","","Uganda;Diesel Price Cut","267 words"," Africa News","","",
"Joyce Namutebi, New Vision (Kampala)","","","Science and Health;World Bank Gives 3bn/= For Fighting Lake Weed","414 words"," Africa News","","",
"Abraham Odeke, New Vision (Kampala)","","","Uganda;200 STUDENTS GO MISSING IN KAMULI","774 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;Mkapa Arrives in Kampala","800 words"," Africa News","","",
"James Bakama and Agencies, New Vision (Kampala)","","","Sports - General;Kamoga Wins Silver Medal","160 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","Business and Finance;Woolworths workers in SA vow to continue strike","667 words"," Africa News","","",
"Mark Etheridge, Cape Argus (Cape Town)","","","Sports - General;Whoops! Bid's Danie Malan puts his Olympic foot in it","347 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;We really can do it, says Ball","400 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Squandering a golden opportunity (Editorial)","494 words"," Africa News","","",
"Jermaine Craig, Cape Argus (Cape Town)","","","South Africa;Watch patrols on hit list","614 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Speak up or shut up - affirmative action deadline final","480 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;More questions over Cuba trip","707 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Unionist accused of 'contempt for democracy'","387 words"," Africa News","","",
"Julius Bosire, The Nation (Nairobi)","","","Kenya;Moi plays down effect of aid cut","1254 words"," Africa News","","",
"Kathleen Openda, The Nation (Nairobi)","","","Kenya;Church, NCEC give Moi ultimatum","747 words"," Africa News","","",
"NATION Team, The Nation (Nairobi)","","","Kenya;Lobby upholds strike plan","694 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","South Africa;Widowed Ex-South African President, Plans To Marry?","325 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Comores;Ivorian Ambassador Named OAU Envoy To Troubled Comoro","485 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Africa;African Force In Bangui Allowed To Use Force","280 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Sierra Leone;UN Threatens Sierra Leone With Sanctions","471 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;African Booksellers Form Association","294 words"," Africa News","","",
"Grace Kwinjeh, PANA Correspondent, Panafrican News Agency","","","Africa-at-Large;Future Of Pan African Women's Organisation In Doubt","598 words"," Africa News","","",
"Amnesty International","","","Rwanda; Amnesty: Massacres Of Unarmed Civilians Escalate","971 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Tigray utilizes entire capital budget last fiscal year","365 words"," Africa News","","",
"Ethiopian News Agency","","","Sports - General;Haile endorses Cape Town's Olympic bid","347 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;National revenues rise","654 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Tamirat's trial adjourned for next Ethiopian year","147 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Adiabun Dam inaugurated","600 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Justice administration improves in Tigray","320 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;New Forex Opens At Postoffice","334 words"," Africa News","","",
"New Vision (Kampala)","","","Business and Finance;Alliance Takes Air Rwanda","494 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;MRS MKAPA VISITS NAMAGUNGA GIRLS","254 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;CITY SECURITY UP","334 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;MAKE A THOROUGH CENSUS (Editorial)","627 words"," Africa News","","",
"New Vision (Kampala)","","","Business and Finance;Uganda;POSTS OUT OF PHONE CARDS, 200M/= LOST","400 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;1,000 BODA BODA BIKES UNREGISTERED","427 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Mkapa Tours Industries","267 words"," Africa News","","",
"New Vision (Kampala)","","","Sports - General;Victorious Kamoga Warns Johnson","307 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Death Rate Scares MPs","600 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Rescue Front Men Attack From Sudan","440 words"," Africa News","","",
"Staff Reporters, The Namibian (Windhoek)","","","Namibia;President's Ban Ditched by Court","640 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Sports - General;US and Angolans blamed for Cuba trip saga","854 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;I'm still on-side - Kgosiemang","574 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;NHE docket still with prosecution","374 words"," Africa News","","",
"The Namibian (Windhoek)","","","Namibia;'No evidence on genocide suspect'","360 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Business and Finance;Zambia conference discusses SAP","587 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Chitala cautions church leaders","534 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;630 kgs of dagga seized in joint op","387 words"," Africa News","","",
"Amos Malupenga, Post of Zambia (Lusaka)","","","Zambia;Police surround CBU again","534 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Zambia maintains ban on elephant hunting","560 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Vernon Mwaanga Appeals","587 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Desperate leadership (Editorial)","840 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Zambia;Judge shields Finance Minister Penza","1107 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;Schools' bid envoys ready for big exam","360 words"," Africa News","","",
"Staff Reporters, Cape Argus (Cape Town)","","","South Africa;Open war rages on Flats","694 words"," Africa News","","",
"Maureen Pithey, Cape Argus (Cape Town)","","","South Africa;Christy Skoglund: otherwise known as Sahara, woman gladiator","1347 words"," Africa News","","",
"Peter Goosen, Cape Argus (Cape Town)","","","South Africa;Townships linked to ocean in Bid plan","294 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Land Claims: Enough heartache (Editorial)","440 words"," Africa News","","",
"Alide Dasnois, Cape Argus (Cape Town)","","","South Africa;Cape firm bids for foreign aid","480 words"," Africa News","","",
"Martin Schonteich, Cape Argus (Cape Town)","","","South Africa;Fixing legal system will bail out Omar","1760 words"," Africa News","","",
"Jermaine Craig, Cape Argus (Cape Town)","","","South Africa;Prisoners angry over probe, says Ndungane","507 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;Madiba is the ace up Cape Town's sleeve","560 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Chiluba challeges university dons","427 words"," Africa News","","",
"YUYO KAMBIKAMBI, Times of Zambia (Lusaka)","","","Sports - General;Coach's job up for grabs","414 words"," Africa News","","",
"MARTIN MUSUNKA, Times of Zambia (Lusaka)","","","Sports - General;Rugby refs go back to class","414 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambian Motor Firm appeals to State","920 words"," Africa News","","",
"EDWIN MUSAIKA, Times of Zambia (Lusaka)","","","Business and Finance;Zambian Commercial courts planned","654 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambia's Privatisation risks failure","507 words"," Africa News","","",
"BEN PHIRI, Times of Zambia (Lusaka)","","","Business and Finance;600 tonnes of Zambia tea export bound","227 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Food shortage predicted","494 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Court tosses out injuction","854 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Anarchy at the Universities (Editorial)","627 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Chichele now no go area","480 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Tax evaders warned","640 words"," Africa News","","",
"NATION Team, The Nation (Nairobi)","","","Kenya;Strike divides the Opposition","1120 words"," Africa News","","",
"NATION Correspondent, The Nation (Nairobi)","","","Business and Finance;Row over Kenyan export zone worsens","614 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;In absence of talks, strike threat looms (Editorial)","467 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Sports - General;Haile Wins First Gold for Ethiopia in Athens","348 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sports - General;Haile Endorses Cape Town's Olympic Bid","286 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Sports - General;Ethiopia and the Olympics","803 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Eritrea;Eritreans in Ethiopia after Nakfa","1811 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;More Than A Million Ethiopians Need Food Assistance","183 words"," Africa News","","",
"Tamrat Bekele, Addis Tribune (Addis Ababa)","","","Ethiopia;Addis Tribune Marks 5th Anniversary (Editorial)","170 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Science and Health;UNICEF Welcomes New Tobacco Control Bid Worldwide","941 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Business and Finance;Coffee Disease To Be Discussed","231 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Silte Identity Said Favourable for Development","129 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;First Woman Assistant Resident UNDP Rep in Ethiopia","762 words"," Africa News","","",
"Our Economic Correspondent, Addis Tribune (Addis Ababa)","","","Business and Finance;Privatization Revenue in Ethiopia Rises","963 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Ministry Says over 400,000 Job Opportunities Expected","172 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Region 14 Says Only 12% of Firms Fully Licensed","337 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopian Produced 60 Tonnes of Tantalum Concentrate","98 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Circus Held In Dire Dawa","179 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Science and Health;Weather Data said Helpful for Malaria Control","117 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Liberia;Salim Congratulates Taylor on Election Victory","142 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Switzerland Celebrates Confederation Day","314 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;CARE Inaugurates Food-For-Work Project","137 words"," Africa News","","",
"Dr. Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Arts and Entertainment;History of Ethiopian Religious Art and Manuscripts","1406 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","Business and Finance;New Africa Investments Set To Buy Sowetan","916 words"," Africa News","","",
"Bouazza Ben Bouazza, PANA Correspondent, Panafrican News Agency","","","Sports - Soccer;Nigeria, Tunisia In 'African Mundialito' Final","243 words"," Africa News","","",
"Panafrican News Agency","","","Zambia;Zambia Expels Congolese Immigrants","145 words"," Africa News","","",
"Panafrican News Agency","","","East Africa;Kenya Lifts Ban On Flights To Burundi","204 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Ethiopia;Poor Rains Widen Ethiopia's Food Deficit","399 words"," Africa News","","",
"Panafrican News Agency","","","Mozambique;Mozambique Dismantles Arms Caches","377 words"," Africa News","","",
"Panafrican News Agency","","","Comores;OAU Special Envoy Leaves For Comoros","198 words"," Africa News","","",
"Panafrican News Agency","","","Sports - General;South Africa Dominates African Karate Championships","282 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Zambia;Kabalika's sermon at seminar causes laughter","416 words"," Africa News","","",
"Sheikh Chifuwe, Post of Zambia (Lusaka)","","","Zambia;Calls for use of breast feeding in family planning","351 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Zambian 'artistes' stuck in Cuba","345 words"," Africa News","","",
"Staff Reporter, Post of Zambia (Lusaka)","","","Zambia;Appeal against DNA ruling filed","1157 words"," Africa News","","",
"Mulenga Makumya (Column), Post of Zambia (Lusaka)","","","Zambia;Seeing It my Way: World of politics","622 words"," Africa News","","",
"NATION Correspondent, The Nation (Nairobi)","","","Kenya;Go-slow called off, says Govt","475 words"," Africa News","","",
"JACINTA SEKOH, The Nation (Nairobi)","","","Kenya;Bank to fund energy sector","428 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Job chances increase for ex-combatants","297 words"," Africa News","","",
"ABSALOM SHIGWEDHA, The Namibian (Windhoek)","","","Namibia;Muyongo claims Ovadhimba expulsion on cards","336 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;New jets raise concerns over Eros","537 words"," Africa News","","",
"The Namibian (Windhoek)","","","Namibia;Air Board inspects MD hopefuls","185 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Kxoe Chief briefs UN","262 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Govt faces huge housing challenge","533 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;AirNam not hit by flight ban","271 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;EU deal will hit Namibia","518 words"," Africa News","","",
"Alfred Wasike and Savio Kyambadde, New Vision (Kampala)","","","Business and Finance;Uganda's Greenland Bank In Trouble Over Equipment","413 words"," Africa News","","",
"Abdulgadir Kiragga, New Vision (Kampala)","","","Business and Finance;Trial Of Italian Investor Set","210 words"," Africa News","","",
"Paul Busharizi and Agencies, New Vision (Kampala)","","","Business and Finance;Kenya Shilling Hits All Time Low","514 words"," Africa News","","",
"New Vision (Kampala)","","","Africa-at-Large;A New Vision For Africa (Editorial)","523 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;KAMPALA GRENADE VICTIMS RECOVER","215 words"," Africa News","","",
"Simon Kaheru, New Vision (Kampala)","","","Uganda;MRS MKAPA GIVES ORPHANAGE 800,000/=","279 words"," Africa News","","",
"Patrick Luganda, New Vision (Kampala)","","","Uganda;Rinderpest Fee Hiked","325 words"," Africa News","","",
"Chris Osekeny Jamu, New Vision (Kampala)","","","Science and Health;Polio Campaign Saboteurs Held","193 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;MKAPA FINDS HIS MAKERERE ROOM LOCKED","399 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Uganda;MPs Angered By Nepotism In Airline","455 words"," Africa News","","",
"Edson Bagada and Henry Tumwine, New Vision (Kampala)","","","Uganda;MUSEVENI NAMES NEW COURT JUDGES","226 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Business and Finance;Ostrich meat lacks market","285 words"," Africa News","","",
"Okechukwu Nwankwo, Times of Zambia (Lusaka)","","","Sports - General;Zambian bowlers trail","266 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Sports - Soccer;Nigeria pip Cameroun","418 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Bank of Zambia to study how Uganda got HIPC status","413 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;American Prefabs Coming to Zambia","230 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Bee Firm Lands Export Deal","218 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;CBU strike fizzles out","246 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;I ordered settlers to stay put - Official","703 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;K8 billion academy on cards","190 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Maintain tight fiscal controls, State urged","289 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Gono assures Commercial Bank investors","401 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Bulawayo allocates $29m for Umvumila EPZ","458 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Ushewokunze estate valued at $13,5m","531 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;ZITF on Internet","365 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Is there a future for the Book Fair? (Editorial)","661 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Grace Mugabe charters Boeing for SA trip","499 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Coloured ex-combatants demand compensation","379 words"," Africa News","","",
"Staffan Darnolf (Column), Zimbabwe Independent (Harare)","","","Zimbabwe;Self-censorship exposes democratic shortcomings","1100 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Govt approves new university","179 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Blanchfield quits Truworths","298 words"," Africa News","","",
"Ferial Haffajee, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;KayaFm catches the in-crowd","688 words"," Africa News","","",
"Arthur Goldstuck (Column), Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Web Feet: Freemail comes to the Web","520 words"," Africa News","","",
"Janet Smith, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;So long SABC, hello global news","441 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;IBA unable to stop the magic","726 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Anatomy of a queen","1377 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Why I'm not a rich girl","1785 words"," Africa News","","",
"J G Ballard, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Obituary: William Burroughs","291 words"," Africa News","","",
"Greg Bowes, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Thobejane in a trance","516 words"," Africa News","","",
"Maria McCloy, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Bands vie for HIStory","538 words"," Africa News","","",
"Gwen Ansell, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Obituary: Fela Kuti","281 words"," Africa News","","",
"Robin Denselow, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;The last days of Fela Kuti","558 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Brawl mars African show","758 words"," Africa News","","",
"Julian Drew, Mail and Guardian (Johannesburg)","","","Sports - General;Marathon men take on course of history","1052 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;'Man in black' prepares for the Congo invasion","749 words"," Africa News","","",
"Steve Morris, Mail and Guardian (Johannesburg)","","","Sports - General;Rugby: Boks beyond the crisis point","1094 words"," Africa News","","",
"Barbara Ludman, Mail and Guardian (Johannesburg)","","","Business and Finance;Too few women in top jobs","832 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Communities are building it for themselves","968 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;El Ni's threat to agriculture","776 words"," Africa News","","",
"Gustav Thiel, Mail and Guardian (Johannesburg)","","","Business and Finance;Business is proving effective against crime","514 words"," Africa News","","",
"Glynis O'Hara, Mail and Guardian (Johannesburg)","","","Business and Finance;Training boost for music industry","272 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Reserve Bank's role in question","391 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Close the wealth gap, warns Cosatu","747 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;WOMEN'S DAY: Gender-sensitive health care in the making","618 words"," Africa News","","",
"Colleen Lowe Morna (Commentary), Mail and Guardian (Johannesburg)","","","South Africa;WOMEN'S DAY: 'No more' to violence against women","507 words"," Africa News","","",
"Joanne Fedler (Commentary), Mail and Guardian (Johannesburg)","","","South Africa;WOMENS DAY: It's time to end state neglect of women","744 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;WOMEN'S DAY: Big hopes, little funding","835 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Science and Health;Boys and girls taught how to play","958 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Africa-at-Large;Shifting UN policy on Africa (Editorial)","923 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Rwanda;Why Rwanda admitted to its role in Zaire","1974 words"," Africa News","","",
"Beata Lipman (Commentary), Mail and Guardian (Johannesburg)","","","South Africa;Corrupt police get bad attitude from their leaders","625 words"," Africa News","","",
"Angella Johnson, Mail and Guardian (Johannesburg)","","","South Africa;'I did nothing to resign about'","1215 words"," Africa News","","",
"Justin Arenstein, Mail and Guardian (Johannesburg)","","","South Africa;No payback from gravy-train consultant","400 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","South Africa;Lawyers stunned by legal fees","516 words"," Africa News","","",
"Chris McGreal, Mail and Guardian (Johannesburg)","","","Rwanda;Rwanda's Robespierre","847 words"," Africa News","","",
"Swapna Prabhakaran, Mail and Guardian (Johannesburg)","","","South Africa;Fresh hopes of a return to District Six","334 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Reasons why I had to leave'HRC","775 words"," Africa News","","",
"Mukoni T Ratshitanga, Mail and Guardian (Johannesburg)","","","South Africa;Guards patrol Venda campus as MI spots 'plot'","503 words"," Africa News","","",
"Mukoni T Ratshitanga, Mail and Guardian (Johannesburg)","","","South Africa;Bengu in angry row with Zululand rector","494 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Schools wil cost the state a fortune","707 words"," Africa News","","",
"Wally Mbhele, Mail and Guardian (Johannesburg)","","","South Africa;Crucial Eikenhof docket goes astray","808 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Police 'cover up' torture claims","677 words"," Africa News","","",
"Charlene Smith, Mail and Guardian (Johannesburg)","","","South Africa;PW Botha's bawdy new bride","347 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;'Apology' to Phosa denied","905 words"," Africa News","","",
"Rehana Rossouw and Wally Mbhele, Mail and Guardian (Johannesburg)","","","South Africa;ANC report redefines left-wing strategy","445 words"," Africa News","","",
"Sechaba ka'Nkosi, Mail and Guardian (Johannesburg)","","","South Africa;Cosatu warns: Move left, or else","667 words"," Africa News","","",
"Gaye Davis, Mail and Guardian (Johannesburg)","","","South Africa;Poison pen used against Wits candidate","256 words"," Africa News","","",
"Charlene Smith, Mail and Guardian (Johannesburg)","","","South Africa;Meyer takes the blame for his role in regime","427 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Witness shot while in 'protection'","840 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Bushbuckridge teeters on edge of violence again","587 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Possible R10-million tender fraud to be probed","827 words"," Africa News","","",
"Monica Hilton-Barber, African Eye News Service (South Africa)","","","Science and Health;Horny Rhino kills four zebra during mating frensy","894 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Commission set to probe spate of prison escapes","627 words"," Africa News","","",
"Emmy Allio, New Vision (Kampala)","","","Uganda;51 ARUA TREASON SUSPECTS IN LUZIRA","207 words"," Africa News","","",
"Betty Kagoro and Betty Businge, New Vision (Kampala)","","","Uganda;Retrenched Teachers At Census","218 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Look Again At These Parastatals (Editorial)","498 words"," Africa News","","",
"New Vision (Kampala)","","","East Africa;Travellers From Kenya On The Rise","270 words"," Africa News","","",
"Anne Mugisa, New Vision (Kampala)","","","Uganda;Kazibwe Warns On Vaccination Charges","395 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Burundi;Burundi Executions Deplored","513 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Uganda;EDUCATION BANS EXTRA FEES","320 words"," Africa News","","",
"Pelegrine Otonga and Gilbert Awekofua, New Vision (Kampala)","","","Uganda;31 REBELS KILLED IN YUMBE FIGHTING","238 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;ALL UGANDANS TO GET IDS - MUSEVENI","524 words"," Africa News","","",
"Stephen Muiruri, The Nation (Nairobi)","","","Kenya;Opposition, NCEC vow to fight on","779 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Religious sector as honest broker (Editorial)","393 words"," Africa News","","",
"Thabo Kunene, Zimbabwe Standard (Harare)","","","Zimbabwe;ZBC asked to screen documentaries on Zipra war heroes","611 words"," Africa News","","",
"Michael Kariati, Zimbabwe Standard (Harare)","","","Zimbabwe;Special Olympics children testified for Grobbelaar","664 words"," Africa News","","",
"Chido Makunike, Zimbabwe Standard (Harare)","","","Zimbabwe;Marking the Cabinet","1370 words"," Africa News","","",
"Zimbabwe Standard (Harare)","","","Zimbabwe;From zero to hero? (Editorial)","642 words"," Africa News","","",
"Zimbabwe Standard (Harare)","","","Sports - Soccer;Storm erupts over sale of Mutare United","1214 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Uganda;Nakasongola Stops Making Grenades","245 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Uganda;Nkoyoyo Stops Bishops From Touching Cash","361 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;ITONGWA ARRESTED","245 words"," Africa News","","",
"SUNDAY NATION Team, The Nation (Nairobi)","","","Kenya;All-party anger over strike deaths","1037 words"," Africa News","","",
"Paul Redfern, The Nation (Nairobi)","","","Kenya;World Bank 'may cut aid'","492 words"," Africa News","","",
"Kwendo Opanga (Commentary), The Nation (Nairobi)","","","Kenya;The many cooks of the foreign policy broth","1328 words"," Africa News","","",
"Kwendo Opanga, The Nation (Nairobi)","","","Kenya;Have clerics taken up "Mission impossible?"","1836 words"," Africa News","","",
"Panafrican News Agency","","","Mozambique;Mozambique Honors 19th Century Anti-Colonial Hero","513 words"," Africa News","","",
