"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","Probes Tie South African Officials to Assassinations Community Leaders Go Into Hiding","1187 words"," Africa News","","",
"","","","GE linked to South African diamond caper","134 words"," Africa News","","",
"","","","EC approaches North Africa","200 words"," Africa News","","",
"","","","Ties resumed","134 words"," Africa News","","",
"","","","Opposition seats up","254 words"," Africa News","","",
"","","","Chad OK's opposition","133 words"," Africa News","","",
"","","","Prime minister out","160 words"," Africa News","","",
"","",""," Democracy moves in Tanzania","187 words"," Africa News","","",
"","","","Togolese demonstrate","254 words"," Africa News","","",
"","",""," Ghana lifts ban","214 words"," Africa News","","",
"","",""," Algerian call to arms","227 words"," Africa News","","",
"","",""," Mali chooses leader","200 words"," Africa News","","",
"","","","Summit tackles violence","267 words"," Africa News","","",
"","","","CALENDAR","3213 words"," Africa News","","",
"","","","Djibouti","120 words"," Africa News","","",
"","","","Sudan","160 words"," Africa News","","",
"","","","Somalia","134 words"," Africa News","","",
"","","","Ethiopia","174 words"," Africa News","","",
"","","","HORN OF MISERY","2547 words"," Africa News","","",
"","","","LETTERS","1254 words"," Africa News","","",
"","","","VIEWPOINT:SOUTHERN AFRICA DROUGHT THREATENS SPREAD OF PEACE, DEMOCRACY","1240 words"," Africa News","","",
"","","","TRAVELER'S JOURNAL","2067 words"," Africa News","","",
"","","","Aid to Malawi may depend on reform","347 words"," Africa News","","",
"","","","Sierra Leone coup makers promise vote","494 words"," Africa News","","",
"","","","DISARMAMENT PLEDGE RAISES LIBERIA PEACE HOPES","1587 words"," Africa News","","",
"","","","UN MISSION AT RISK IN WESTERN SAHARA","2307 words"," Africa News","","",
"","","","Generals Said to Plan Power Grab for Mobutu","467 words"," Africa News","","",
"","","","ZAIRE'S WEIGHTY CRISIS PERSISTS","2747 words"," Africa News","","",
"","","","Postings","814 words"," Africa News","","",
"","","","U.S.& Africa: Backing Democracy","880 words"," Africa News","","",
"","","","Return to the fray","360 words"," Africa News","","",
"","","","Absence makes the heart grow?","320 words"," Africa News","","",
"","","","Resisting reforms","347 words"," Africa News","","",
"","","","To the rescue","254 words"," Africa News","","",
"","","","Strapped for cash","267 words"," Africa News","","",
"","","","Don't take it for granted","227 words"," Africa News","","",
"","","","Try, try again","294 words"," Africa News","","",
"","","","Fighting for democracy?","347 words"," Africa News","","",
"","","","Fast Facts about AIDS","320 words"," Africa News","","",
"","","","Ugandan efforts loosen epidemic's grip","734 words"," Africa News","","",
"","","","U.S. cutback cripples Zaire's AIDS program","2107 words"," Africa News","","",
"","","","Dossier: Women's Rights Eroding in Sudan","2747 words"," Africa News","","",
"","","","Assassination Controversy Surrounds Angolan Rebel Leader","2107 words"," Africa News","","",
"","","","AFRICAN NGOs HIGHLIGHT PEOPLE'S CONCERNS","547 words"," Africa News","","",
"","","","African's Push Agenda for Earth Summit","2600 words"," Africa News","","",
"","","","Election Preparations Begin Despite Difficulties","1200 words"," Africa News","","",
"","","","African countries lead misery index","560 words"," Africa News","","",
"","","","ENVIRONMENTAL APPROACHES RECLAIM AFRICAN LAND","1334 words"," Africa News","","",
"","","","African Democracy Gets Little Notice in Washington 'Low Cost, No Controversy' are watchwords","3014 words"," Africa News","","",
"","","","CALENDAR","4960 words"," Africa News","","",
"","","","Long live the king","294 words"," Africa News","","",
"","","","Rhino's revenge","254 words"," Africa News","","",
"","","","Deep roots","174 words"," Africa News","","",
"","","","No exit","294 words"," Africa News","","",
"","","","Peace dividend feared","640 words"," Africa News","","",
"","","","One thousand executed?","320 words"," Africa News","","",
"","","","No peace, no vote","146 words"," Africa News","","",
"","","","Democracy vote on hold","414 words"," Africa News","","",
"","","","Human Rights Record Under Scrutiny","520 words"," Africa News","","",
"","","","Nigeria Stumbles as Woes Mount","1200 words"," Africa News","","",
"","","","Big Apple Eyes Sanctions End","480 words"," Africa News","","",
"","","","Donors Tune In to Southern Africa's Plight","347 words"," Africa News","","",
"","","","War and Peace Advance in Sudan","1760 words"," Africa News","","",
"","","","Carter Turns Spotlight on Zambia's Economic Hopes","1067 words"," Africa News","","",
"","","","Governments Pressed on Unasked Questions","1374 words"," Africa News","","",
"","","","The Concept of Sustainable Development","1960 words"," Africa News","","",
"","","","Pondering Sustainable Development","160 words"," Africa News","","",
"","","","I Am Woman--New York","1347 words"," Africa News","","",
"","","","Gore on Africa","960 words"," Africa News","","",
"","","","Crisis Rocks Oil Giant","1294 words"," Africa News","","",
"","","","Africans Push More Ambitious Environment Goals","1894 words"," Africa News","","",
"","","","The Cupboard Is Bare","801 words"," Africa News","","",
"","","","It's Not the Humidity, It's the Heat","534 words"," Africa News","","",
"","","","Business As Usual","320 words"," Africa News","","",
"","","","S.O.S.","374 words"," Africa News","","",
"","","","Pope Makes Ninth Africa Visit","387 words"," Africa News","","",
"","","","Student Unrest Spreads Across African Campuses","1494 words"," Africa News","","",
"","","","Draft Guidelines: Foreign Investment in a Democratic South Africa","960 words"," Africa News","","",
"","","","Foreign Investment Debate Continues","240 words"," Africa News","","",
"","","","Tough Issues Trouble South African Negotiations","1027 words"," Africa News","","",
"","","","Bravo!","80 words"," Africa News","","",
"","","","Where's Madagascar?","214 words"," Africa News","","",
"","","","Worn Around the Edges","174 words"," Africa News","","",
"","","","Reader Concerns: Junk Mail, Format, Ads","774 words"," Africa News","","",
"","","","Mobutu Needs Push From Bush","560 words"," Africa News","","",
"","","","Letters","53 words"," Africa News","","",
"","","","Malawi's Travails Should Not Be Ignored","694 words"," Africa News","","",
"","","","Africa's Neglect Spans U.S. Political Spectrum","1800 words"," Africa News","","",
"","","","The Inaugural Address of Mali's Democratically Elected President, Alpha OumarKonare","1934 words"," Africa News","","",
"","","","Mali's Democracy,Begun in Bloodshed,Completes Orderly Transition","854 words"," Africa News","","",
"","","","UN Pushes to End Western Sahara Deadlock","547 words"," Africa News","","",
"","","","Troop Deaths in Liberia Spark Review by West Africans","667 words"," Africa News","","",
"","","","U.S. Urged to Cut Aid to Uganda","827 words"," Africa News","","",
"","","","News Agency Collapse Threatens a Continent's Dream:African Leaders will Consider Rescue Proposal","1720 words"," Africa News","","",
"","","","Mobutu Blocks Zaire Democracy Moves","880 words"," Africa News","","",
"","","","After Rio, African Groups Have Contacts, Voice","1374 words"," Africa News","","",
"","","","South and North","188 words"," Africa News","","",
"","","","United Front","334 words"," Africa News","","",
"","","","Presumed Innocent","200 words"," Africa News","","",
"","","","UN Rescue","480 words"," Africa News","","",
"","","","The Heat Is On","200 words"," Africa News","","",
"","","","Olive Branches","240 words"," Africa News","","",
"","","","Fragile Future","320 words"," Africa News","","",
"","","","Cobalt Rush","254 words"," Africa News","","",
"","","","Shoo Fly","187 words"," Africa News","","",
"","","","Progress for Ethiopian Transition but Polling Deemed 'Imperfect'","1174 words"," Africa News","","",
"","","","ELECTION JOURNAL: Voters Demonstrate Hopes for Change","1880 words"," Africa News","","",
"","","","Elections Test Ethiopia's New Democracy","387 words"," Africa News","","",
"","","","Hopes and Questions Surround Sierra Leone Reform","1187 words"," Africa News","","",
"","","","Electoral Commission Promises Fairness","374 words"," Africa News","","",
"","","","Kenyans Register to Vote as Opposition Raps Process","2614 words"," Africa News","","",
"","","","Quiet Defiance Marks Malawi Protests","1120 words"," Africa News","","",
"","","","Fundamentalists Said to Favor Rights","414 words"," Africa News","","",
"","","","Boudiaf Assassination Clouds Algeria's Future","1027 words"," Africa News","","",
"","","","De Klerk's Image Takes a Tumble Abroad","774 words"," Africa News","","",
"","","","Hope, Fear Mingle in Fractured South Africa","760 words"," Africa News","","",
"","","","Congo Takes Faltering First Steps Toward Democracy","507 words"," Africa News","","",
"","","","Drought Challenges Spirit in War-Torn Mozambique","1467 words"," Africa News","","",
"","","","Publications","641 words"," Africa News","","",
"","","","Farewell to Arms","414 words"," Africa News","","",
"","","","Judgment or Mercy?","360 words"," Africa News","","",
"","","","Walking Papers","294 words"," Africa News","","",
"","","","Missing?","534 words"," Africa News","","",
"","","","Making Peace","280 words"," Africa News","","",
"","","","Back to the Bush","307 words"," Africa News","","",
"","","","Difficult Transition","454 words"," Africa News","","",
"","","","Mandela: 'We Cannot Accept an Undemocratic Constitution' Highlights from Nelson Mandela's July 4 response.","1000 words"," Africa News","","",
"","","","De Klerk: 'Insurrectionist Thinking' Threatens Peace Excerpts from President de Klerk's July 2 memorandum to Nelson Mandela.","1667 words"," Africa News","","",
"","","","South Africans Move Toward the Brink","454 words"," Africa News","","",
"","","","People & Places","614 words"," Africa News","","",
"","","","Is It Really Possible to Rank Countries by Their Magnitude of Suffering?","654 words"," Africa News","","",
"","","","World Response to Suffering in Somalia, Sarajevo Differ","1134 words"," Africa News","","",
"","","","Pressure On Rebels Could Stop Mozambique Killings","1707 words"," Africa News","","",
"","","","Democracy Requires More than Elections","1827 words"," Africa News","","",
"","","","Kenya on Road to 'Flourishing' Democracy","2227 words"," Africa News","","",
"","","","Kenyans Disagree Over Political Reform Process","294 words"," Africa News","","",
"","","","U.S. Business Takes New Look at Mozambique","494 words"," Africa News","","",
"","","","Ivorian President Weighs Clemency for Opponents","667 words"," Africa News","","",
"","","","Nigerian Vote Leaves Transition Questions Unanswered","827 words"," Africa News","","",
"","","","UN in Angola Said to Need Support","654 words"," Africa News","","",
"","","","Trek Promotes Bicycles for Africa","347 words"," Africa News","","",
"","","","Cyclists Set to Ride Across Africa","1120 words"," Africa News","","",
"","","","Suffering Rises as Civil Strife Persists: New Initiatives to End Wars in Somalia and Mozambique","1214 words"," Africa News","","",
"","","","Zaire Ruler Tussles with Democracy Forces","600 words"," Africa News","","",
"","","","Desert Soldier Boosts Sahara Team","1907 words"," Africa News","","",
"","","","Freed Ivorian Opposition Leader Wants Dialogue With Government","507 words"," Africa News","","",
"","","","Ivorians Fear Violent Crackdown on Crime Wave","1254 words"," Africa News","","",
"","","","Famine Hits Zimbabwe Breadbasket","520 words"," Africa News","","",
"","","","Drought Dampens Africa's Economic Prospects","1800 words"," Africa News","","",
"","","","American Families Adopt African Children","1920 words"," Africa News","","",
"","","","National Guard May Join Angolan Election Effort","400 words"," Africa News","","",
"","","","Expert Pushes Butter, Not Guns, To Stop Somali Fighting","640 words"," Africa News","","",
"","","","Transition Back on Track","361 words"," Africa News","","",
"","","","Lose Some, Win Some","227 words"," Africa News","","",
"","","","Better Late","214 words"," Africa News","","",
"","","","Abuses","254 words"," Africa News","","",
"","","","Democracy Begins","347 words"," Africa News","","",
"","","","Peace Impasse","347 words"," Africa News","","",
"","","","Chihana Chairs","360 words"," Africa News","","",
"","","","Showdown at Shaba","374 words"," Africa News","","",
"","","","A Hut Is Not a Home","160 words"," Africa News","","",
"","","","Wanderers","147 words"," Africa News","","",
"","","","Stick to Africa","347 words"," Africa News","","",
"","","","Mozambique Journal: Children at War and Play","1560 words"," Africa News","","",
"","","","South Africa on the Brink","2174 words"," Africa News","","",
"","","","South Africa","440 words"," Africa News","","",
"","","","Economic Regionalization","320 words"," Africa News","","",
"","","","Debt a Concern","667 words"," Africa News","","",
"","","","African Delegates Resist Marginalization At World Bank, IMF Meeting","720 words"," Africa News","","",
"","","","Liberian Vote Under Fire","1387 words"," Africa News","","",
"","","","Impasse Clouds Saharan Peace Plan","1240 words"," Africa News","","",
"","","","Efforts Intensify to End Sudan Agony","1374 words"," Africa News","","",
"","","","No Shows","351 words"," Africa News","","",
"","","","Foiled Coup","347 words"," Africa News","","",
"","","","Whose Money?","280 words"," Africa News","","",
"","","","Kaunda Quits","374 words"," Africa News","","",
"","","","Reebok Awards","294 words"," Africa News","","",
"","","","No New Wage Cuts","320 words"," Africa News","","",
"","","","Campaign Heats Up","480 words"," Africa News","","",
"","","","Angolan Presidential Candidates","453 words"," Africa News","","",
"","","","Luanda, October 1993Statement of the International Foundation for Electoral Systems (IFES)International Observer Delegation on the Elections in Angola, September 29-30,1992","814 words"," Africa News","","",
"","","","Massive Effort Nets Huge Voter Turnout","3587 words"," Africa News","","",
"","","","Angolans Revel in First Free Vote Rebel Leader's Actions Cast Shadow OverFuture","640 words"," Africa News","","",
"","","","Fraud Charges Prompt Suspension of Nigerian Election","787 words"," Africa News","","",
"","","","Peace Declared in Mozambique","680 words"," Africa News","","",
"","","","Warring Factions Edge Peacekeepers into Liberian Conflict","694 words"," Africa News","","",
"","","","Kenya Lobbies U.S. For Aid As Election Nears","1640 words"," Africa News","","",
"","","","Famine, Drought Challenge Somalia's Nomads","1067 words"," Africa News","","",
"","","","Egypt Seeks Balance in Ties to U.S. and Libya","1414 words"," Africa News","","",
"","","","War Could Resume in Disputed Saharan Desert","1040 words"," Africa News","","",
"","","","Group Charges U.S. Allowed Flow of Shotguns to South Africa Lawsuit Seeks Release of Documents","1840 words"," Africa News","","",
"","","","Bush Team Readies Africa Policy Directive: Clinton promises to boost support for democracy","1360 words"," Africa News","","",
"","","","Ghana Prepares for National Vote","1760 words"," Africa News","","",
"","","","Deja Vu","308 words"," Africa News","","",
"","","","Elections on Hold","240 words"," Africa News","","",
"","","","Campaign Trail","534 words"," Africa News","","",
"","","","Transition Postponed","427 words"," Africa News","","",
"","","","Banda Bows","414 words"," Africa News","","",
"","","","Two Steps Forward, One Back","347 words"," Africa News","","",
"","","","Try Again","334 words"," Africa News","","",
"","","","Think Positive","360 words"," Africa News","","",
"","","","Not !","267 words"," Africa News","","",
"","","","Report on the Commission of Inquiry Into Complaints by Former African NationalCongress Prisoners and Detainees","3400 words"," Africa News","","",
"","","","South Africa's ANC Says It Has Been Guilty of Rights Abuses","427 words"," Africa News","","",
"","","","Angolan Election in Dispute","1054 words"," Africa News","","",
"","","","Ivorian Leader Marks Birthday","720 words"," Africa News","","",
"","","","First Cameroon Elections Marred By Fraud Charges","1054 words"," Africa News","","",
"","","","Island Nation Prizes Adventurous Spirit:Cape Verde Embraces Democracy","1760 words"," Africa News","","",
"","","","Letter from Ghana","1120 words"," Africa News","","",
"","","","Ghana's Largest Newspaper Wins Censorship Battle","854 words"," Africa News","","",
"","","","Okavango Fence Stirs Botswana Storm","1454 words"," Africa News","","",
"","","","Somali War Draws Scribes, Hustlers","960 words"," Africa News","","",
"","","","South Africa Drought Hits Rural Poor Hardest:Aid Workers Say Government Ignored Black Farmers","1160 words"," Africa News","","",
"","","","Cape Verde Envoy Casts A Long Shadow:Boutros-Ghali's Controversial Plan for Angola Deflected","2800 words"," Africa News","","",
"","","","Can Peace Last?","1081 words"," Africa News","","",
"","","","Mozambique's Peace Accord","520 words"," Africa News","","",
"","","","Food Aid Keeps Millions Alive","800 words"," Africa News","","",
"","","","UN Monitors Have Tall Task","1094 words"," Africa News","","",
"","","","Mozambique Accord Brings Hope of Peace","294 words"," Africa News","","",
"","","","United Nations Opens Mission to Aid South African Transition","1000 words"," Africa News","","",
"","","","Bishops Appeal for Action to End Sudan Deaths","1494 words"," Africa News","","",
"","","","UN Strains to Settle Lingering Cold War Conflicts","880 words"," Africa News","","",
"","","","VIEWPOINT--by Margaret Calhoun","867 words"," Africa News","","",
"","","","VIEWPOINT--by William Minter","1320 words"," Africa News","","",
"","","","Save the Peace in Angola and Mozambique","320 words"," Africa News","","",
"","","","Dossier: Opposition Contests Results of Cameroon's First Multiparty Election","2147 words"," Africa News","","",
"","","","King and Chief Minister Set for South Africa Face-Off","654 words"," Africa News","","",
"","","","Ghanaians Give Rawlings Large Mandate at the Polls","414 words"," Africa News","","",
"","","","NBC's 'Today' Goes to Africa 12 Hours of Programming is a Network First","1640 words"," Africa News","","",
"","","","A Guide to the Complex and Growing Web of Armed Groups in Liberia","520 words"," Africa News","","",
"","","","Liberians Cope With Worsening Conflict","1787 words"," Africa News","","",
